num_downloads,day,pack_name,avg10,avg20,avg30
1075,2019-04-12,beautifulsoup,14425.2,13330.25,11355.7
10364,2019-04-11,beautifulsoup,16095.5,13486.05,11592.366666666667
17576,2019-04-10,beautifulsoup,16715.8,13387.6,11532.166666666666
17887,2019-04-09,beautifulsoup,16160.6,12942.55,11200.833333333334
18194,2019-04-08,beautifulsoup,15581.1,12503.45,10719.066666666668
12935,2019-04-07,beautifulsoup,15487.9,12050.15,10251.433333333332
12927,2019-04-06,beautifulsoup,15702.4,11849.55,10080.966666666667
16998,2019-04-05,beautifulsoup,15314.9,11415.15,9931.666666666666
17916,2019-04-04,beautifulsoup,14554.6,10779.2,9658.433333333332
18380,2019-04-03,beautifulsoup,13675.8,10289.2,9365.966666666667
17778,2019-04-02,beautifulsoup,12235.3,9820.95,9024.4
16567,2019-04-01,beautifulsoup,10876.6,9340.8,8565.433333333332
12024,2019-03-31,beautifulsoup,10059.4,8940.35,8147.566666666667
12092,2019-03-30,beautifulsoup,9724.5,8720.95,8022.233333333334
17262,2019-03-29,beautifulsoup,9425.8,8288.05,7908.466666666666
15080,2019-03-28,beautifulsoup,8612.4,7633.2,7661.1
9052,2019-03-27,beautifulsoup,7996.7,7270.25,7550.366666666667
9395,2019-03-26,beautifulsoup,7515.4,7240.05,7640.9
9128,2019-03-25,beautifulsoup,7003.8,7210.35,7583.4
3975,2019-03-24,beautifulsoup,6902.6,7211.05,7533.766666666666
4191,2019-03-23,beautifulsoup,7406.6,7418.95,7781.5
8395,2019-03-22,beautifulsoup,7805.0,7409.85,8032.9
8675,2019-03-21,beautifulsoup,7821.3,7191.65,8153.333333333333
9105,2019-03-20,beautifulsoup,7717.4,7171.1,8267.266666666666
9128,2019-03-19,beautifulsoup,7150.3,7149.8,8347.4
8923,2019-03-18,beautifulsoup,6654.0,7185.45,8310.233333333334
4239,2019-03-17,beautifulsoup,6543.8,7327.2,8283.3
4279,2019-03-16,beautifulsoup,6964.7,7703.65,8527.966666666667
8116,2019-03-15,beautifulsoup,7416.9,7873.2,8797.9
9015,2019-03-14,beautifulsoup,7519.5,7849.35,8867.2
8175,2019-03-13,beautifulsoup,7431.3,7968.95,8847.7
8558,2019-03-12,beautifulsoup,7014.7,8146.85,8829.8
7636,2019-03-11,beautifulsoup,6562.0,8319.35,8679.4
3434,2019-03-10,beautifulsoup,6624.8,8542.2,8568.5
4165,2019-03-09,beautifulsoup,7149.3,8945.95,8715.8
7821,2019-03-08,beautifulsoup,7716.9,9138.35,8844.233333333334
8448,2019-03-07,beautifulsoup,8110.6,9153.05,8891.966666666667
8801,2019-03-06,beautifulsoup,8442.6,9309.6,8925.066666666668
9142,2019-03-05,beautifulsoup,8329.5,9488.4,8914.466666666667
8133,2019-03-04,beautifulsoup,8179.2,9541.05,8744.866666666667
4009,2019-03-03,beautifulsoup,8506.6,9555.9,8612.566666666668
4031,2019-03-02,beautifulsoup,9279.0,9737.35,8762.933333333332
8264,2019-03-01,beautifulsoup,10076.7,9738.1,8928.966666666667
8679,2019-02-28,beautifulsoup,10459.6,9540.35,8932.866666666667
9841,2019-02-27,beautifulsoup,10742.6,9499.05,8919.666666666666
11758,2019-02-26,beautifulsoup,10559.8,9407.9,8870.733333333334
11768,2019-02-25,beautifulsoup,10195.5,9282.65,8630.7
7670,2019-02-24,beautifulsoup,10176.6,9166.3,8390.766666666666
7639,2019-02-23,beautifulsoup,10647.3,9206.95,8404.7
11407,2019-02-22,beautifulsoup,10902.9,9027.7,8435.7
11733,2019-02-21,beautifulsoup,10605.2,8665.55,8389.466666666667
12008,2019-02-20,beautifulsoup,10195.7,8504.9,8325.9
12093,2019-02-19,beautifulsoup,9399.5,8355.1,8223.266666666666
11509,2019-02-18,beautifulsoup,8621.1,8169.5,7998.5
8013,2019-02-17,beautifulsoup,8255.5,8008.2,7807.433333333333
8115,2019-02-16,beautifulsoup,8256.0,8026.2,7875.9
11579,2019-02-15,beautifulsoup,8369.8,7848.3,7951.866666666667
12377,2019-02-14,beautifulsoup,8156.0,7497.85,7921.666666666667
10195,2019-02-13,beautifulsoup,7766.6,7283.4,7862.333333333333
